30	nan	nan	nan
31	nan	nan	nan
48	21	nan	nan
58	22	nan	nan
91	nan	nan	nan
100	nan	nan	nan
101	nan	nan	nan
104	nan	nan	nan
105	nan	nan	nan
111	nan	nan	nan
112	nan	nan	nan
118	nan	nan	nan
119	nan	nan	nan
123	25	nan	nan
136	nan	nan	nan
179	22	nan	nan
204	nan	nan	nan
221	nan	nan	nan
227	nan	nan	nan
230	nan	nan	nan
242	nan	nan	nan
243	nan	nan	nan
244	nan	nan	nan
283	nan	nan	nan
308	nan	nan	nan
309	nan	nan	nan
196	231	144	217
143	217	194	240
12	205	235	274
300	251	297	252
262	294	250	311
317	275	208	296
69	207	272	302
245	249	218	205
261	306	185	338
286	177	304	114
290	192	153	340
212	106	199	145
280	35	172	206
186	237	260	203
50	214	236	269
202	186	225	141
173	187	71	305
268	51	220	317
331	7	273	295
211	79	191	80
238	259	138	186
246	298	288	186
285	154	42	340
299	193	232	115
247	321	140	193
107	255	301	23
310	241	175	251
282	61	142	195
326	39	223	nan
264	334	186	228
289	202	222	nan
0	77	149	266
55	254	319	258
180	335	267	24
189	122	291	217
198	56	293	271
248	336	307	186
276	10	263	324
215	270	88	40
210	315	282	65
113	188	70	284
36	160	147	281
129	2	124	16
15	126	1	117
125	15	109	17
292	314	213	190
150	312	318	64
139	197	68	19
181	121	219	287
3	128	9	129
277	239	54	nan
329	201	157	108
96	165	20	86
182	53	257	339
146	256	333	156
148	265	327	61
328	63	120	178
325	18	87	116
1	127	5	166
8	64	94	162
279	23	97	176
318	57	320	81
38	133	34	134
41	313	32	89
34	130	17	89
95	167	14	77
135	33	46	38
131	27	137	87
19	98	164	83
337	174	216	nan
14	74	170	44
13	60	103	43
158	75	184	nan
322	278	15	152
11	63	90	45
159	85	155	78
169	25	76	4
93	62	163	28
3	102	26	82
303	61	151	316
67	330	214	229
224	84	168	6
313	25	49	209
323	47	171	59
194	233	196	226
92	52	234	200
72	110	26	nan
133	37	183	nan
11	73	99	161
132	29	46	34
253	332	21	66
